key,sample,location,location_code,state,state_code,location_macro,location_macro_code,beach_or_area,area_type,coord_lat,coord_lon,status,age_class,sex,previous_assignment,carapace_length_metres,carapace_width_metres,weight_kg,collection_date,library,extracted_from,source,obs,method,rg_id,rg_pl,rg_pm
120,BA8F4,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,,hatchling,,putative_hybrid,,,,2017-12-21T00:00:00-03:00,Good1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
121,BA8F5,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,,hatchling,,putative_hybrid,,,,2017-12-21T00:00:00-03:00,Good1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
122,BA8F6,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,,hatchling,,putative_hybrid,,,,2017-12-21T00:00:00-03:00,Good1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
123,BA146F1,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,,hatchling,,putative_hybrid,,,,2018-01-12T00:00:00-03:00,Good1,tissue,arantes_unpublished,offspring of BA439H,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
124,BA146F2,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,,hatchling,,putative_hybrid,,,,2018-01-12T00:00:00-03:00,Good1,tissue,arantes_unpublished,offspring of BA439H,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
125,BA146F4,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,,hatchling,,putative_hybrid,,,,2018-01-12T00:00:00-03:00,Good1,tissue,arantes_unpublished,offspring of BA439H,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
126,BA146F6,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,,hatchling,,putative_hybrid,,,,2018-01-12T00:00:00-03:00,Good1,tissue,arantes_unpublished,offspring of BA439H,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
127,BA439H,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,laying,adult,F,ei,1.05,0.925,,2017-11-21T21:00:00-03:00,BadgtF1,tissue,arantes_unpublished,"mother of nest 146, tumors",3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
128,CM2,Cayenne,CAY,French Guiana,GF,French Guiana,GF,Cayenne,,,,,hatchling,,cm,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.24.HVM3VBGXX.1,ILLUMINA,NextSeq 500
129,EI01,Cayenne,CAY,French Guiana,GF,French Guiana,GF,Cayenne,,,,,hatchling,,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.24.HVM3VBGXX.1,ILLUMINA,NextSeq 500
130,LO2,Cayenne,CAY,French Guiana,GF,French Guiana,GF,Cayenne,,,,,hatchling,,lo,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.24.HVM3VBGXX.1,ILLUMINA,NextSeq 500
131,LO3,Cayenne,CAY,French Guiana,GF,French Guiana,GF,Cayenne,,,,,hatchling,,lo,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.24.HVM3VBGXX.1,ILLUMINA,NextSeq 500
132,LO39,Cayenne,CAY,French Guiana,GF,French Guiana,GF,Cayenne,,,,,adult,,lo,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.24.HVM3VBGXX.1,ILLUMINA,NextSeq 500
133,LO65,Cayenne,CAY,French Guiana,GF,French Guiana,GF,Cayenne,,,,,adult,,lo,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.24.HVM3VBGXX.1,ILLUMINA,NextSeq 500
134,LO257,Cayenne,CAY,French Guiana,GF,French Guiana,GF,Cayenne,,,,,adult,,lo,,,,,default,tissue,arantes_unpublished,,ddRAD,NB500882.24.HVM3VBGXX.1,ILLUMINA,NextSeq 500
135,LO260,Cayenne,CAY,French Guiana,GF,French Guiana,GF,Cayenne,,,,,adult,,lo,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.24.HVM3VBGXX.1,ILLUMINA,NextSeq 500
136,R0023,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,,,,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
137,R0024,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,nesting,adult,F,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
138,R0024,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,nesting,adult,F,ei,,,,,Bad1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
139,R0025,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,,hatchling,,ei,,,,,default,tissue,vilaca_2022,offspring of R0024,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
140,R0025,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,,hatchling,,ei,,,,,BadgtF1,tissue,arantes_unpublished,offspring of R0024,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
